epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.536,1.00538,2.37739,0.89584,0.55439,0.74763,0.56017,0.47454,0.55965,1.49704,0.93676,0.000472297,0.000472297,0.000472297
2,1451.72,0.63604,1.04947,0.81744,0.69926,0.84671,0.80418,0.67617,0.62362,0.85317,0.93816,0.000929847,0.000929847,0.000929847
3,3005.26,0.6159,0.75312,0.81559,0.93778,0.93523,0.97992,0.84949,0.61417,0.60547,0.93414,0.00136853,0.00136853,0.00136853
4,4215.91,0.61818,0.5922,0.81304,0.90311,0.92956,0.96685,0.88996,0.40559,0.58411,0.91263,0.00134412,0.00134412,0.00134412
5,5133.82,0.52785,0.49334,0.80339,0.98265,0.98423,0.99303,0.89758,0.43708,0.40741,0.92042,0.00131582,0.00131582,0.00131582
6,5722.19,0.48551,0.42951,0.79646,0.98101,0.98004,0.99191,0.88219,0.54825,0.43899,0.92126,0.00128753,0.00128753,0.00128753
7,6340.72,0.46068,0.39883,0.79517,0.98695,0.98806,0.99328,0.92858,0.35896,0.35532,0.90612,0.00125923,0.00125923,0.00125923
8,6964.03,0.47986,0.40926,0.79456,0.99253,0.99111,0.99388,0.9325,0.35663,0.34737,0.90518,0.00123094,0.00123094,0.00123094
9,7520.99,0.42029,0.36032,0.78859,0.94497,0.9522,0.98119,0.94568,0.28901,0.41076,0.8992,0.00120265,0.00120265,0.00120265
10,8018.64,0.40823,0.35464,0.78817,0.99195,0.99158,0.99395,0.93189,0.35012,0.31431,0.90137,0.00117435,0.00117435,0.00117435
11,8524.29,0.38158,0.3314,0.78474,0.99087,0.99318,0.99395,0.95734,0.2983,0.30813,0.89868,0.00114606,0.00114606,0.00114606
12,9026.95,0.38793,0.32757,0.78531,0.99591,0.99632,0.99451,0.93695,0.34051,0.28351,0.89994,0.00111776,0.00111776,0.00111776
13,9491.74,0.37509,0.30885,0.78274,0.99315,0.99379,0.99422,0.95798,0.2761,0.28682,0.89743,0.00108947,0.00108947,0.00108947
14,10046.5,0.36205,0.29979,0.78155,0.99547,0.9954,0.99471,0.96549,0.26368,0.25642,0.89577,0.00106118,0.00106118,0.00106118
15,10546.4,0.34384,0.29279,0.77909,0.99555,0.99427,0.99469,0.96506,0.2749,0.26884,0.89721,0.00103288,0.00103288,0.00103288
16,11072.8,0.35816,0.30609,0.78107,0.99571,0.99607,0.99455,0.96617,0.26131,0.25152,0.8957,0.00100459,0.00100459,0.00100459
